site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,htot_feldpausch
FN_A01,98,,,70.661.811.988.124,86.448.789.419.992,20.0,13.23,1.47,True,O,17.17
FN_A01,100,,,7.066.328.629.808,8.644.868.699.504,31.4,16.72,1.34,True,O,22.73
FN_A01,104,,,7.066.203.391.618,8.644.890.205.604,25.2,5.62,1.43,True,O,19.9
FN_A01,105,,,70.661.820.815.078,86.448.832.846.724,44.0,25.33,2.73,True,O,27.43
FN_A01,122,,,706.623.882.547.259,86.450.487.597.179,22.6,6.86,1.26,True,O,18.58
FN_A01,123,,,706.622.169.951.968,864.505.377.060.984,16.0,7.1,1.64,True,O,14.79
FN_A01,124,,,706.622.193.376.096,864.505.506.358.048,38.0,4.99,1.11,True,O,25.35
FN_A01,125,,,706.625.031.992.733,864.505.710.066.806,22.3,18.54,1.43,True,O,18.42
FN_A01,127,,,706.623.332.755.312,864.517.235.569.728,52.9,5.01,1.66,True,O,30.1
FN_A01,128,,,706.629.474.129.368,864.518.355.687.892,60.1,32.31,2.41,True,O,31.96
FN_A01,129,,,70.666.221.253.672,86.451.845.076.528,75.0,23.35,2.2,True,O,35.13
FN_A01,130,,,706.633.172.160.128,864.532.064.590.624,50.0,4.44,1.97,True,O,29.28
FN_A01,131,,,706.626.401.125.172,864.536.217.705.576,17.8,5.72,1.97,True,O,15.89
FN_A01,132,,,70.666.671.130.568,86.453.169.351.144,41.0,1.64,0.95,True,O,26.42
FN_A01,134,,,706.632.310.059.748,864.534.860.477.384,38.3,12.76,1.68,True,O,25.46
FN_A01,135,,,706.640.557.963.328,864.536.070.356.224,52.4,29.97,2.92,True,O,29.96
FN_A01,136,,,706.652.546.626.688,864.535.538.019.104,45.9,5.6,1.93,True,O,28.04
FN_A01,137,,,70.699.539.055.716,86.447.177.872.144,21.2,3.69,1.46,True,O,17.83
FN_A01,138,,,706.984.815.483.728,864.473.409.778.672,13.9,6.36,1.18,True,O,13.42
FN_A01,139,,,706.982.617.614.792,864.473.973.259.808,22.3,7.09,1.3,True,O,18.42
FN_A01,140,,,707.009.509.801.096,864.475.273.528.704,40.0,19.55,2.11,True,O,26.07
FN_A01,141,Qualea paraensis,Vochysiaceae,706.972.796.979.872,864.485.837.263.168,43.5,13.76,11.47,False,O,27.27
FN_A01,142,,,70.695.792.214.216,86.448.539.303.504,38.6,3.53,1.45,True,O,25.57
FN_A01,143,Qualea paraensis,Vochysiaceae,706.950.349.077.536,864.486.281.499.584,55.8,26.39,17.85,False,O,30.88
FN_A01,144,,,706.952.373.804.941,864.487.969.423.635,37.1,26.58,3.47,True,O,25.01
FN_A01,145,,,70.696.727.154.888,86.449.029.563.912,36.2,20.71,2.24,True,O,24.67
FN_A01,146,,,706.898.277.094,8.645.017.977,35.1,10.32,2.31,True,O,24.25
FN_A01,147,Anacardium spruceanum,Anacardiaceae,70.688.945.361.016,86.449.991.339.336,36.1,21.82,13.06,False,O,24.63
FN_A01,148,,,706.891.201.526.848,864.500.649.499.808,13.0,13.22,1.8,True,O,12.81
FN_A01,149,,,70.689.457.535.816,86.450.046.306.316,57.6,5.57,2.11,True,O,31.34
FN_A01,150,,,7.068.875.876.412,8.645.016.022.372,47.5,2.03,1.4,True,O,28.54
FN_A01,151,,,706.881.587.638.448,864.515.023.136.832,47.4,27.46,1.61,True,O,28.51
FN_A01,152,,,706.872.279.695.872,864.514.275.371.648,59.3,18.7,1.95,True,O,31.76
FN_A01,153,,,7.068.360.400.072,8.645.169.015.728,38.0,18.35,1.73,True,O,25.35
FN_A01,154,,,7.068.352.519.668,8.645.174.069.602,38.7,10.06,1.85,True,O,25.61
FN_A01,155,Aniba parviflora,Lauraceae,706.873.955.175.032,864.514.161.075.888,48.0,27.39,19.72,False,O,28.69
FN_A01,1,Croton urucurana,Euphorbiaceae,706.748.291.682.592,864.265.970.746.704,11.2,14.82,10.3,False,O,11.53
FN_A01,2,Inga sp.,Fabaceae,706.772.440.491.952,864.266.955.557.024,11.8,11.46,5.67,False,O,11.96
FN_A01,3,Croton urucurana,Euphorbiaceae,706.783.504.461.256,864.267.299.097.072,14.2,11.67,7.46,False,O,13.62
FN_A01,4,Cecropia palmata,Urticaceae,7.067.850.947.556,8.642.672.562.792,12.4,12.92,10.08,False,O,12.39
FN_A01,5,,,7.067.987.113.522,8.642.637.205.014,37.5,29.5,14.41,True,O,25.16
FN_A01,6,,,70.680.166.618.908,86.426.405.556.996,52.0,4.02,1.27,True,O,29.85
FN_A01,7,Cordia scabrifolia,Boraginaceae,70.678.333.097.688,86.426.245.164.256,47.0,30.21,18.29,False,O,28.38
FN_A01,8,Bowdichia nitida,Fabaceae,706.762.620.943.992,864.262.256.386.504,39.7,25.14,17.06,False,O,25.97
FN_A01,9,,,706.753.689.180.992,864.264.879.643.104,52.1,12.67,1.89,True,O,29.88
FN_A01,10,,,70.677.420.098.924,86.426.519.855.208,37.5,12.39,1.85,True,O,25.16
FN_A01,11,Micropholis venulosa,Sapotaceae,70.688.142.955.024,86.427.156.028.848,11.5,8.85,8.3,False,O,11.75
FN_A01,12,Schefflera morototoni,Araliaceae,7.068.858.422.124,8.642.715.382.968,11.4,9.62,7.31,False,O,11.67
FN_A01,13,,,70.688.504.540.616,86.427.095.889.032,17.1,14.64,1.22,True,O,15.47
FN_A01,14,Inga sp.,Fabaceae,706.890.773.986,864.271.648.122,10.0,13.07,7.71,False,O,10.62
FN_A01,15,Schefflera morototoni,Araliaceae,706.890.189.690.872,864.271.839.871.744,12.7,11.71,7.09,False,O,12.6
FN_A01,16,,,706.889.150.244.788,864.272.011.441.176,12.7,5.64,1.09,True,O,12.6
FN_A01,17,,,70.689.106.326.944,86.427.209.626.488,35.7,2.81,1.05,True,O,24.48
FN_A01,18,Pouteria sp.,Sapotaceae,706.895.983.990.712,864.270.681.991.824,41.9,26.73,16.59,False,O,26.73
FN_A01,19,Aniba parviflora,Lauraceae,706.904.884.756.016,864.270.858.776.032,51.5,25.95,17.36,False,O,29.71
FN_A01,20,Mezilaurus itauba,Lauraceae,7.069.120.280.656,8.642.703.916.728,48.0,20.86,12.62,False,O,28.69
FN_A01,21,,,706.913.182.858.272,864.270.682.278.544,44.1,4.72,2.36,True,O,27.46
FN_A01,22,Aspidosperma excelsum,Apocynaceae,706.918.933.192.512,864.270.523.432.224,40.3,26.52,16.38,False,O,26.18
FN_A01,23,Qualea paraensis,Vochysiaceae,70.691.558.321.704,86.427.187.712.808,39.6,30.53,15.75,False,O,25.93
FN_A01,24,Dipteryx odorata,Fabaceae,70.691.687.020.196,86.427.050.823.172,41.7,19.72,13.73,False,O,26.66
FN_A01,25,,,7.069.277.612.426,8.642.717.636.472,37.9,7.98,1.47,True,O,25.31
FN_A01,26,,,70.692.202.949.228,86.426.846.207.456,36.0,6.25,1.35,True,O,24.6
FN_A01,27,Helicostylis sp.,Moraceae,706.896.026.017.832,864.269.367.200.264,37.1,24.64,15.22,False,O,25.01
FN_A01,28,Heisteria densifrons,Olacaceae,707.024.532.813.232,864.277.751.404.952,16.6,10.0,5.59,False,O,15.16
FN_A01,29,Cordia scabrifolia,Boraginaceae,707.025.575.412.726,86.427.740.257.235,52.1,28.57,16.51,False,O,29.88
FN_A01,30,Trattinnickia burserifolia,Burseraceae,707.026.062.202,864.276.860.572,62.7,27.27,17.38,False,O,32.57
FN_A01,31,Sloanea guianensis,Elaeocarpaceae,707.033.545.035.888,864.278.029.731.168,13.9,16.28,10.65,False,O,13.42
FN_A01,32,Helicostylis sp.,Moraceae,7.070.360.693.576,8.642.778.171.396,12.6,10.22,7.11,False,O,12.53
FN_A01,33,Tetragastris altissima,Burseraceae,707.040.329.861.512,864.278.094.632.832,12.7,10.77,8.63,False,O,12.6
FN_A01,34,Maquira coriacea,Moraceae,707.040.366.007.368,864.277.604.592.048,35.0,19.68,15.03,False,O,24.21
FN_A01,35,Maquira coriacea,Moraceae,70.704.563.967.944,86.427.790.297.584,38.3,23.76,16.97,False,O,25.46
FN_A01,36,Aspidosperma spruceanum,Apocynaceae,70.704.875.642.344,86.427.835.688.124,21.7,22.75,14.36,False,O,18.1
FN_A01,37,Thyrsodium spruceanum,Anacardiaceae,707.051.310.828.144,864.278.787.986.784,40.7,23.72,17.18,False,O,26.32
FN_A01,38,Albizia pedicellaris,Fabaceae,7.070.545.906.216,8.642.786.050.836,49.2,30.64,18.55,False,O,29.05
FN_A01,39,Nectandra cuspidata,Lauraceae,7.070.622.281.656,8.642.783.908.696,37.0,21.11,12.63,False,O,24.98
FN_A01,40,Tetragastris altissima,Burseraceae,70.707.575.156.832,86.427.594.422.352,38.5,22.56,13.67,False,O,25.53
FN_A01,41,Cordia scabrifolia,Boraginaceae,70.706.117.940.832,86.427.428.176.352,56.7,22.76,15.42,False,O,31.11
FN_A01,42,Aniba parviflora,Lauraceae,70.705.428.995.072,86.427.602.180.592,36.0,24.68,17.76,False,O,24.6
FN_A01,43,Tetragastris altissima,Burseraceae,70.704.765.248.176,86.427.553.407.536,52.0,18.95,13.72,False,O,29.85
FN_A01,44,Cordia scabrifolia,Boraginaceae,707.045.252.304.601,864.275.742.856.529,48.2,21.81,14.52,False,O,28.75
FN_A01,45,,,70.716.669.554.472,86.428.351.521.304,20.3,3.91,1.36,True,O,17.33
FN_A01,46,,,70.716.728.329.433,864.283.451.830.267,10.3,3.71,1.17,True,O,10.85
FN_A01,47,Inga alba,Fabaceae,707.166.680.274.752,864.283.622.441.664,14.4,14.5,11.06,False,O,13.76
FN_A01,48,,,707.166.278.927.674,864.283.304.645.075,20.2,2.97,1.41,True,O,17.28
FN_A01,49,Inga alba,Fabaceae,70.716.893.773.168,86.428.349.483.376,11.7,13.69,7.97,False,O,11.89
FN_A01,50,,,70.717.614.340.648,86.428.409.673.936,18.3,6.65,1.75,True,O,16.19
FN_A01,51,Ormosia coccinea,Fabaceae,7.071.885.979.648,8.642.844.735.936,19.9,15.83,8.21,False,O,17.11
FN_A01,52,Pouteria gongrijpii,Sapotaceae,70.720.123.223.416,86.428.506.854.712,30.5,26.49,14.66,False,O,22.35
FN_A01,53,,,7.071.952.948.416,8.642.838.917.632,52.8,14.21,,True,O,30.07
FN_A01,54,Tetragastris altissima,Burseraceae,70.719.669.714.024,86.428.042.798.168,42.0,29.89,17.89,False,O,26.77
FN_A01,55,,,70.719.304.618.852,86.428.209.010.064,42.6,24.21,,True,O,26.97
FN_A01,56,Cordia scabrifolia,Boraginaceae,709.908.822.081.909,864.160.832.867.571,35.9,26.29,22.2,False,O,24.56
FN_A01,57,Eugenia punicifolia,Myrtaceae,709.908.782.460.464,864.161.183.353.136,12.9,15.18,10.51,False,O,12.74
FN_A01,58,Qualea paraensis,Vochysiaceae,709.911.311.906.224,864.160.741.598.776,42.4,27.63,18.27,False,O,26.9
FN_A01,59,Casearia javitensis,Salicaceae,709.914.281.163,864.161.117.172,11.2,11.26,5.62,False,O,11.53
FN_A01,60,Pouteria sp.,Sapotaceae,709.912.574.143.912,864.161.360.929.088,24.3,23.15,11.09,False,O,19.45
FN_A01,61,Pouteria gongrijpii,Sapotaceae,709.914.144.586.112,864.161.614.060.688,16.3,17.41,11.2,False,O,14.98
FN_A01,62,Poeppigia procera,Fabaceae,709.914.767.593.024,864.161.536.810.976,22.8,19.35,13.67,False,O,18.68
FN_A01,63,Qualea paraensis,Vochysiaceae,709.918.621.384.096,864.161.323.544.104,42.5,26.88,18.18,False,O,26.93
FN_A01,64,,,709.922.187.774.584,864.162.260.122.016,13.0,6.26,,True,O,12.81
FN_A01,65,Inga alba,Fabaceae,70.992.500.368.888,86.416.235.759.312,11.1,13.4,8.72,False,O,11.45
FN_A01,66,Helicostylis sp.,Moraceae,70.992.825.324.312,86.416.261.815.888,14.8,16.4,10.87,False,O,14.02
FN_A01,67,Protium paniculatum,Burseraceae,70.993.030.971.936,86.416.252.467.264,11.1,6.61,5.1,False,O,11.45
FN_A01,68,Mouriri collocarpa,Melastomataceae,709.935.355.872.358,864.162.824.174.681,13.4,13.13,11.28,False,O,13.08
FN_A01,69,Ormosia coccinea,Fabaceae,7.099.435.212.414,8.641.634.495.976,10.3,10.0,5.96,False,O,10.85
FN_A01,70,Mayna odorata,Achariaceae,709.943.153.297.976,864.163.668.760.224,11.0,10.3,5.86,False,O,11.38
FN_A01,71,,,709.945.618.821.808,864.163.774.211.792,11.0,6.68,,True,O,11.38
FN_A01,72,Albizia pedicellaris,Fabaceae,7.099.510.929.492,8.641.633.970.568,53.1,23.8,12.86,False,O,30.16
FN_A01,73,Inga alba,Fabaceae,7.099.470.331.952,8.641.630.760.408,42.0,20.13,10.98,False,O,26.77
FN_A01,74,Qualea paraensis,Vochysiaceae,70.993.791.161.056,86.416.222.581.944,50.0,6.87,,False,O,29.28
FN_A01,75,Albizia pedicellaris,Fabaceae,709.942.948.392.736,864.161.579.577.464,35.0,19.86,7.24,False,O,24.21
FN_A01,76,Qualea paraensis,Vochysiaceae,70.996.124.637.232,86.416.055.096.228,37.6,26.84,16.24,False,O,25.2
FN_A01,77,Aniba parviflora,Lauraceae,7.099.652.363.268,8.641.608.636.312,37.4,23.95,16.78,False,O,25.13
FN_A01,78,Qualea paraensis,Vochysiaceae,70.996.628.941.312,86.416.055.914.088,55.0,29.0,21.85,False,O,30.67
FN_A01,79,,,70.996.510.131.464,86.416.021.576.136,44.2,27.69,18.82,False,O,27.5
FN_A01,80,Qualea paraensis,Vochysiaceae,7.099.599.414.592,8.641.607.204.768,49.0,26.12,17.44,False,O,28.99
FN_A01,81,Qualea paraensis,Vochysiaceae,709.965.533.944,864.159.993.986,36.9,23.32,15.72,False,O,24.94
FN_A01,82,Mezilaurus itauba,Lauraceae,70.996.572.264.712,86.416.013.492.288,42.3,26.62,19.68,False,O,26.87
FN_A01,83,,,70.997.425.514,864.160.513.076,46.3,19.77,11.97,False,O,28.17
FN_A01,84,Tetragastris altissima,Burseraceae,709.987.282.496,864.157.168.744,35.7,21.57,13.06,False,O,24.48
FN_A01,85,Qualea paraensis,Vochysiaceae,7.099.518.231.584,8.641.584.785.156,71.3,28.09,18.75,False,O,34.41
FN_A01,86,Dipteryx odorata,Fabaceae,709.932.339.750.408,864.158.021.361.792,35.9,26.65,15.36,False,O,24.56
FN_A01,87,Erisma uncinatum,Vochysiaceae,7.099.368.716.744,8.641.587.314.536,56.2,22.54,14.66,False,O,30.98
FN_A01,88,Qualea paraensis,Vochysiaceae,70.992.341.121.056,86.416.007.201.144,61.7,28.14,16.14,False,O,32.34
FN_A01,89,Dipteryx odorata,Fabaceae,70.992.197.655.928,86.416.008.571.472,40.4,21.87,15.18,False,O,26.21
FN_A01,90,Tachigali paniculata,Fabaceae,709.928.277.319.504,864.161.210.645.296,35.1,24.72,18.16,False,O,24.25
FN_A01,91,Aspidosperma excelsum,Apocynaceae,70.991.149.578.952,86.416.039.145.048,64.0,33.27,21.61,False,O,32.87
FN_A01,92,Pouteria gongrijpii,Sapotaceae,710.031.704.346.816,8.641.700.535.076,15.5,16.01,11.18,False,O,14.47
FN_A01,93,Vochysia guianensis,Vochysiaceae,71.003.192.014.936,864.170.450.572,10.8,18.03,11.83,False,O,11.23
FN_A01,94,Neea oppositifolia,Nyctaginaceae,710.036.758.145.328,8.641.704.326.038,35.0,23.45,17.18,False,O,24.21
FN_A01,95,Casearia javitensis,Salicaceae,710.040.023.072.681,86.417.060.124.796,11.9,12.73,8.94,False,O,12.03
FN_A01,96,Jacaranda copaia,Bignoniaceae,71.004.513.810.416,864.170.552.466,43.8,24.41,18.37,False,O,27.37
FN_A01,97,Jacaranda copaia,Bignoniaceae,71.005.143.822.672,864.171.533.788,25.8,23.18,18.28,False,O,20.19
FN_A01,98,Albizia pedicellaris,Fabaceae,710.054.855.517.879,86.417.176.462.764,17.7,15.44,10.04,False,O,15.83
FN_A01,99,Jacaranda copaia,Bignoniaceae,710.055.202.813.756,8.641.721.988.418,14.9,17.08,10.83,False,O,14.08
FN_A01,100,Jacaranda copaia,Bignoniaceae,710.057.363.060.968,8.641.723.610.524,29.7,25.99,16.73,False,O,22.0
FN_A01,101,Miconia poeppigii,Melastomataceae,71.005.752.307.928,864.172.373.068,13.0,16.83,11.67,False,O,12.81
FN_A01,102,Neea oppositifolia,Nyctaginaceae,710.060.743.633.504,8.641.722.318.064,10.0,9.54,4.83,False,O,10.62
FN_A01,103,Bellucia grossularioides,Melastomataceae,710.062.384.925.408,8.641.722.527.828,12.6,18.68,11.73,False,O,12.53
FN_A01,104,Tachigali paniculata,Fabaceae,71.006.121.891.788,864.172.395.134,44.1,23.5,13.13,False,O,27.46
FN_A01,105,,,71.006.217.271.816,864.172.594.438,24.2,17.63,,True,O,19.4
FN_A01,106,Casearia javitensis,Salicaceae,710.062.042.881.944,864.172.610.242,14.6,17.9,11.33,False,O,13.89
FN_A01,107,Qualea paraensis,Vochysiaceae,71.006.915.370.528,864.171.585.704,42.9,9.26,4.95,False,O,27.07
FN_A01,108,Qualea paraensis,Vochysiaceae,7.100.771.115.104,864.171.414.822,54.5,25.0,23.34,False,O,30.54
FN_A01,109,,,710.095.249.532,864.169.705.776,37.0,17.73,,True,O,24.98
FN_A01,110,,,71.008.813.996.136,864.169.433.638,38.8,26.39,,True,O,25.64
FN_A01,111,Aniba parviflora,Lauraceae,710.067.013.561.832,8.641.682.486.772,50.0,42.3,17.96,False,O,29.28
FN_A01,112,Qualea paraensis,Vochysiaceae,7.100.567.495.886,864.168.753.626,42.8,23.14,15.08,False,O,27.04
FN_A01,113,,,7.100.620.203.672,864.167.751.898,43.0,31.88,,True,O,27.1
FN_A01,114,Qualea paraensis,Vochysiaceae,710.059.215.765.512,864.167.291.127,35.0,23.51,19.8,False,O,24.21
FN_A01,115,Qualea paraensis,Vochysiaceae,71.005.567.838.896,864.169.054.252,50.6,19.96,11.27,False,O,29.45
FN_A01,116,Qualea paraensis,Vochysiaceae,710.047.942.610.272,864.168.984.988,49.0,27.71,15.79,False,O,28.99
FN_A01,117,Goupia glabra,Goupiaceae,7.100.405.092.664,864.168.683.952,80.0,23.95,10.93,False,O,36.02
FN_A01,118,Qualea paraensis,Vochysiaceae,710.147.025.430.304,864.179.029.633.808,47.2,30.36,15.83,False,O,28.45
FN_A01,119,Qualea paraensis,Vochysiaceae,7.101.497.368.292,8.641.788.467.744,45.1,34.28,21.15,False,O,27.79
FN_A01,120,Aspidosperma excelsum,Apocynaceae,710.150.448.232.904,864.178.759.515.008,43.4,17.64,15.34,False,O,27.23
FN_A01,121,Erisma uncinatum,Vochysiaceae,710.154.995.543.736,864.178.218.252.872,40.7,20.51,16.29,False,O,26.32
FN_A01,122,Mezilaurus itauba,Lauraceae,710.155.598.164.896,864.178.889.712.192,69.0,20.14,15.01,False,O,33.95
FN_A01,123,,,71.016.391.368.108,86.417.860.736.596,50.4,12.83,,True,O,29.4
FN_A01,124,Aspidosperma excelsum,Apocynaceae,71.015.871.717.944,86.417.974.001.888,29.6,11.97,8.48,False,O,21.95
FN_A01,125,Guatteria schomburgkiana,Annonaceae,710.159.294.603.523,864.179.768.778.767,13.8,7.51,6.23,False,O,13.36
FN_A01,126,Ormosia coccinea,Fabaceae,710.157.270.086.016,864.179.887.122.032,16.1,17.11,11.06,False,O,14.85
FN_A01,127,,,710.160.992.845.536,864.180.027.931.872,10.0,3.46,,True,O,10.62
FN_A01,128,Ormosia grossa,Fabaceae,710.163.273.582.256,864.180.316.044.512,13.3,15.43,11.37,False,O,13.02
FN_A01,129,Tovomita sp.,Clusiaceae,710.170.360.832.496,864.180.572.555.392,10.7,13.07,10.37,False,O,11.15
FN_A01,130,Tovomita sp.,Clusiaceae,710.169.932.757.016,864.180.541.947.432,23.0,17.16,12.72,False,O,18.79
FN_A01,131,Protium paniculatum,Burseraceae,71.017.264.663.984,86.418.086.086.768,12.5,7.87,5.73,False,O,12.46
FN_A01,132,Qualea paraensis,Vochysiaceae,710.176.781.964.696,864.181.031.674.792,29.6,22.92,16.37,False,O,21.95
FN_A01,133,,,710.182.707.526.064,864.181.330.732.928,17.0,17.0,12.99,False,O,15.41
FN_A01,134,Aniba parviflora,Lauraceae,7.101.849.670.736,8.641.812.431.252,50.0,28.77,18.58,False,O,29.28
FN_A01,135,Aspidosperma spruceanum,Apocynaceae,710.188.316.738,864.182.105.264,16.0,17.9,12.95,False,O,14.79
FN_A01,136,,,7.101.975.511.872,8.641.800.259.284,54.5,24.55,,True,O,30.54
FN_A01,137,Qualea paraensis,Vochysiaceae,710.185.716.859.712,864.178.546.404.224,56.0,24.56,17.42,False,O,30.93
FN_A01,138,Qualea paraensis,Vochysiaceae,710.189.271.222.064,864.178.426.992.128,37.3,23.72,18.79,False,O,25.09
FN_A01,139,Erisma uncinatum,Vochysiaceae,7.101.990.927.848,8.641.781.349.116,78.4,24.54,17.48,False,O,35.74
FN_A01,140,Qualea paraensis,Vochysiaceae,710.213.844.051.728,864.178.579.605.056,74.0,32.88,21.1,False,O,34.94
FN_A01,141,,,7.102.053.140.168,8.641.773.319.556,60.2,4.09,,True,O,31.98
