site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2016,dead_2016,hcom_2016,htot_2016,dbh_2018,dead_2018,plot_id
SAN_A01b,001a,,,736910.3807,9667923.18,O,22.0,False,,,22.4,False,2
SAN_A01b,001b,Eschweilera coriacea,Lecythidaceae,736890.3347,9667914.087,O,44.1,False,26.19,35.07,47.2,False,2
SAN_A01b,002a,Parkia paraensis,Fabaceae,736902.8456,9667920.434,O,46.8,False,17.54,28.99,46.8,False,2
SAN_A01b,002b,Micrandra minor,Euphorbiaceae,736897.7126,9667892.239,O,46.6,False,19.98,28.15,46.4,False,2
SAN_A01b,003a,,,736904.3004,9667919.625,O,21.5,True,,,,True,2
SAN_A01b,003b,Tachigali myrmecophila,Fabaceae,736904.9648,9667874.771,O,57.5,False,36.82,44.77,,True,2
SAN_A01b,004a,Eschweilera micrantha,Lecythidaceae,736906.3098,9667920.021,O,13.5,False,,,14.2,False,2
SAN_A01b,004b,Micrandra minor,Euphorbiaceae,736880.8993,9667883.61,O,42.7,False,22.8,31.67,42.9,False,2
SAN_A01b,005a,,,736908.1397,9667918.341,O,26.6,True,,,,True,2
SAN_A01b,005b,Eschweilera apiculata,Lecythidaceae,736883.0185,9667890.344,O,46.6,False,21.49,33.28,46.7,False,2
SAN_A01b,006a,Virola michelii,Myristicaceae,736909.3067,9667916.921,O,13.0,False,,,13.9,False,2
SAN_A01b,006b,,,736877.7142,9667901.158,O,47.3,True,2.77,31.54,,True,2
SAN_A01b,007a,Eschweilera ovata,Lecythidaceae,736907.8811,9667916.46,O,10.1,False,,,10.2,False,2
SAN_A01b,008a,,,736905.3701,9667914.767,L,11.6,False,,,11.3,False,2
SAN_A01b,009a,Eschweilera ovata,Lecythidaceae,736904.701,9667911.401,O,12.0,False,,,12.8,False,2
SAN_A01b,010a,Eschweilera coriacea,Lecythidaceae,736903.6973,9667908.808,O,17.9,False,,,18.1,False,2
SAN_A01b,011a,Eschweilera micrantha,Lecythidaceae,736908.4404,9667910.301,O,11.2,False,,,10.4,False,2
SAN_A01b,012a,Duguetia surinamensis,Annonaceae,736907.6937,9667907.132,O,25.4,False,,,25.5,False,2
SAN_A01b,013a,Manilkara huberi,Sapotaceae,736909.2638,9667906.026,O,15.0,False,8.55,11.48,15.3,False,2
SAN_A01b,014a,Poeppigia procera,Fabaceae,736914.3997,9667911.449,O,19.1,False,,,19.9,False,2
SAN_A01b,015a,Lecythis idatimon,Lecythidaceae,736914.3441,9667910.837,O,17.2,False,,,17.7,False,2
SAN_A01b,016a,Lecythis lurida,Lecythidaceae,736913.8097,9667907.887,O,34.3,False,,,34.4,False,2
SAN_A01b,017a,Ocotea cernua,Lauraceae,736918.2,9667906.396,O,12.0,False,,,12.8,False,2
SAN_A01b,018a,Duguetia surinamensis,Annonaceae,736911.8549,9667902.611,O,33.5,False,,,33.7,False,2
SAN_A01b,019a,Duguetia surinamensis,Annonaceae,736908.0942,9667896.696,O,22.0,False,,,21.1,False,2
SAN_A01b,020a,Lecythis lurida,Lecythidaceae,736913.0292,9667897.573,O,28.0,False,14.18,21.9,28.0,False,2
SAN_A01b,021a,Licania guianensis,Chrysobalanaceae,736917.0349,9667898.114,O,37.2,False,,,38.2,False,2
SAN_A01b,022a,Lecythis lurida,Lecythidaceae,736919.6886,9667901.74,O,33.7,False,,,33.5,False,2
SAN_A01b,023a,Licania guianensis,Chrysobalanaceae,736920.9465,9667898.842,O,13.8,False,,,14.4,False,2
SAN_A01b,024a,,,736920.7891,9667896.779,O,11.9,False,,,12.2,False,2
SAN_A01b,025a,Protium paniculatum,Burseraceae,736914.171,9667892.637,O,11.9,False,,,12.0,False,2
SAN_A01b,026a,Eschweilera coriacea,Lecythidaceae,736911.8224,9667890.798,O,41.6,False,,,41.7,False,2
SAN_A01b,027a,Protium paniculatum,Burseraceae,736917.4175,9667892.458,O,18.0,False,,,,True,2
SAN_A01b,028a,Manilkara bidentata,Sapotaceae,736919.1269,9667889.781,O,61.6,False,16.12,20.39,62.2,False,2
SAN_A01b,029a,Eschweilera coriacea,Lecythidaceae,736922.9954,9667889.316,O,12.6,False,,,12.9,False,2
SAN_A01b,030a,Inga thibaudiana,Fabaceae,736924.2888,9667889.942,O,14.5,False,,,15.8,False,2
SAN_A01b,031a,Lecythis lurida,Lecythidaceae,736924.4704,9667885.941,O,24.9,False,,,25.1,False,2
SAN_A01b,032a,Eschweilera coriacea,Lecythidaceae,736921.2578,9667886.14,O,11.1,False,,,11.4,False,2
SAN_A01b,033a,Mabea angularis,Euphorbiaceae,736916.3986,9667882.975,O,24.0,False,,,24.5,False,2
SAN_A01b,034a,,,736912.6563,9667881.983,O,29.9,True,,,,True,2
SAN_A01b,035a,Tetragastris panamensis,Burseraceae,736916.1011,9667881.314,O,14.9,False,,,15.1,False,2
SAN_A01b,036a,Eschweilera ovata,Lecythidaceae,736913.9786,9667876.791,O,15.0,False,,,15.6,False,2
SAN_A01b,037a,Pouteria gongrijpii,Sapotaceae,736916.3263,9667878.507,O,25.2,False,16.79,22.91,25.9,False,2
SAN_A01b,038a,Eschweilera ovata,Lecythidaceae,736918.1324,9667876.812,O,14.7,False,,,15.2,False,2
SAN_A01b,039a,,,736926.9919,9667877.815,O,16.6,True,,,,True,2
SAN_A01b,040a,Eschweilera coriacea,Lecythidaceae,736925.929,9667875.552,O,12.0,False,,,12.9,False,2
SAN_A01b,041a,,,736915.288,9667873.925,O,13.8,True,,,,True,2
SAN_A01b,042a,Eschweilera coriacea,Lecythidaceae,736911.095,9667877.381,O,20.0,False,,,20.5,False,2
SAN_A01b,043a,Pouteria gongrijpii,Sapotaceae,736913.0917,9667881.027,O,26.8,False,,,26.9,False,2
SAN_A01b,044a,Pouteria gongrijpii,Sapotaceae,736911.8398,9667881.472,O,17.4,False,,,18.0,False,2
SAN_A01b,045a,Eschweilera coriacea,Lecythidaceae,736910.4109,9667882.298,O,31.8,False,,,32.4,False,2
SAN_A01b,046a,Trichilia micrantha,Meliaceae,736909.1772,9667887.3,O,17.4,False,22.56,31.48,17.6,False,2
SAN_A01b,047a,Trichilia micrantha,Meliaceae,736910.476,9667889.096,O,10.7,False,,,11.0,False,2
SAN_A01b,048a,Eschweilera coriacea,Lecythidaceae,736910.0439,9667892.388,O,10.8,False,,,11.3,False,2
SAN_A01b,049a,Eschweilera micrantha,Lecythidaceae,736906.567,9667897.706,O,19.4,False,,,19.9,False,2
SAN_A01b,050a,Eschweilera coriacea,Lecythidaceae,736902.3118,9667897.623,O,28.5,False,,,29.2,False,2
SAN_A01b,051a,Tachigali myrmecophila,Fabaceae,736898.9196,9667909.751,O,13.9,False,,,14.5,False,2
SAN_A01b,052a,Licania octandra,Chrysobalanaceae,736900.7034,9667910.62,O,35.7,False,,,36.1,False,2
SAN_A01b,053a,Licania octandra,Chrysobalanaceae,736897.5327,9667917.604,O,37.2,False,15.04,23.6,,True,2
SAN_A01b,054a,,,736893.8254,9667913.69,L,15.6,False,,,,True,2
SAN_A01b,055a,,,736903.5917,9667911.211,L,,,,,11.0,False,2
SAN_A01b,056a,,,736901.7633,9667904.712,L,,,,,11.8,False,2
SAN_A01b,057a,Inga sp.,Fabaceae,736914.7383,9667902.609,O,,,,,10.6,False,2
SAN_A01b,058a,,,736909.9009,9667899.325,L,,,,,10.2,False,2
SAN_A01b,059a,Pouteria gongrijpii,Sapotaceae,736918.9473,9667876.155,O,,,,,9.9,False,2
SAN_A01b,060a,Talisia longifolia,Sapindaceae,736917.8213,9667879.812,O,,,,,10.2,False,2
SAN_A01b,001a,Eschweilera coriacea,Lecythidaceae,736774.6202,9668149.238,O,20.7,False,,,21.0,False,3
SAN_A01b,001b,Swartzia laevicarpa,Fabaceae,736756.0009,9668142.067,O,35.0,False,,,35.0,False,3
SAN_A01b,002a,,,736781.0588,9668146.817,O,32.8,False,,,34.2,False,3
SAN_A01b,002b,,,736758.2451,9668139.494,O,42.5,False,,,42.9,False,3
SAN_A01b,003a,Eschweilera micrantha,Lecythidaceae,736781.8354,9668145.215,O,15.0,False,,,15.6,False,3
SAN_A01b,003b,Minquartia guianensis,Olacaceae,736764.5469,9668134.998,O,36.2,False,,,36.4,False,3
SAN_A01b,004a,Pouteria gongrijpii,Sapotaceae,736777.5674,9668140.911,O,31.2,False,,,30.9,False,3
SAN_A01b,004b,,,736762.1984,9668131.01,O,44.6,True,,,,True,3
SAN_A01b,005a,Chimarrhis turbinata,Rubiaceae,736784.9198,9668143.226,O,73.8,False,22.91,31.97,41.8,False,3
SAN_A01b,005b,Rinorea guianensis,Violaceae,736766.4972,9668130.839,O,38.4,False,25.09,34.22,37.9,False,3
SAN_A01b,006a,Tachigali myrmecophila,Fabaceae,736783.2091,9668137.999,O,11.0,False,,,11.6,False,3
SAN_A01b,006b,Minquartia guianensis,Olacaceae,736762.8392,9668125.098,O,47.6,False,,,47.7,False,3
SAN_A01b,007a,Lecythis idatimon,Lecythidaceae,736780.318,9668135.183,O,11.2,False,,,11.5,False,3
SAN_A01b,007b,Pouteria sp.,Sapotaceae,736764.6311,9668121.241,O,42.7,False,,,44.4,False,3
SAN_A01b,008a,,,736782.4601,9668135.147,O,16.2,False,,,16.6,False,3
SAN_A01b,008b,Minquartia guianensis,Olacaceae,736772.7544,9668119.763,O,50.6,False,21.22,32.99,50.9,False,3
SAN_A01b,009a,Pouteria gongrijpii,Sapotaceae,736783.7587,9668135.762,O,14.0,False,15.88,19.16,14.3,False,3
SAN_A01b,009b,,,736776.9152,9668117.72,O,36.0,True,,,,True,3
SAN_A01b,010a,Eschweilera micrantha,Lecythidaceae,736789.982,9668138.296,O,42.4,False,,,42.5,False,3
SAN_A01b,010b,Swartzia laevicarpa,Fabaceae,736778.4592,9668106.242,O,43.5,False,,,44.0,False,3
SAN_A01b,011a,,,736785.3295,9668135.154,O,29.7,False,,,30.0,False,3
SAN_A01b,011b,Dialium guianense,Fabaceae,736769.1374,9668104.63,O,52.2,False,20.27,38.51,52.8,False,3
SAN_A01b,012a,,,736789.7688,9668136.548,L,15.7,False,,,16.7,False,3
SAN_A01b,012b,Diospyros artanthifolia,Ebenaceae,736769.9074,9668095.997,O,63.4,False,21.66,34.93,63.0,False,3
SAN_A01b,013a,Eschweilera coriacea,Lecythidaceae,736787.1494,9668134.257,O,52.0,False,17.08,29.87,58.9,False,3
SAN_A01b,014a,Eschweilera micrantha,Lecythidaceae,736784.5548,9668133.01,O,27.8,False,,,28.0,False,3
SAN_A01b,014b,Dipteryx odorata,Fabaceae,736764.2932,9668115.105,O,37.1,False,,,37.1,False,3
SAN_A01b,015a,,,736784.0557,9668129.62,O,26.0,False,,,26.2,False,3
SAN_A01b,015b,Pouteria sp.,Sapotaceae,736759.5326,9668125.4,O,52.0,False,17.39,33.58,39.8,False,3
SAN_A01b,016a,,,736792.4839,9668132.079,O,22.5,False,,,22.6,False,3
SAN_A01b,016b,Ormosia excelsa,Fabaceae,736751.82,9668128.445,O,36.1,False,,,36.2,False,3
SAN_A01b,017a,Dialium guianense,Fabaceae,736793.4621,9668130.075,O,27.0,False,,,27.7,False,3
SAN_A01b,018a,,,736785.4916,9668126.635,O,29.0,False,,,29.9,False,3
SAN_A01b,019a,Pouteria gongrijpii,Sapotaceae,736784.7527,9668121.483,O,25.0,False,,,25.5,False,3
SAN_A01b,020a,,,736791.4415,9668125.406,O,23.3,True,,,,True,3
SAN_A01b,021a,Abarema mataybifolia,Fabaceae,736798.1127,9668122.758,O,25.3,False,,,26.1,False,3
SAN_A01b,022a,Fusaea longifolia,Annonaceae,736795.2839,9668115.252,O,20.8,False,,,21.1,False,3
SAN_A01b,023a,Abarema mataybifolia,Fabaceae,736797.5317,9668115.079,O,24.0,False,,,24.0,False,3
SAN_A01b,024a,Eschweilera coriacea,Lecythidaceae,736795.8173,9668111.913,O,15.0,False,,,15.4,False,3
SAN_A01b,025a,,,736796.4723,9668110.558,O,15.4,False,7.24,10.96,15.4,False,3
SAN_A01b,026a,Eschweilera coriacea,Lecythidaceae,736792.6708,9668111.708,O,18.6,False,,,19.1,False,3
SAN_A01b,027a,Eschweilera micrantha,Lecythidaceae,736790.7789,9668107.763,O,27.3,False,,,27.2,False,3
SAN_A01b,028a,Duguetia surinamensis,Annonaceae,736790.2093,9668116.825,O,13.7,False,,,,True,3
SAN_A01b,029a,Eschweilera coriacea,Lecythidaceae,736789.6405,9668113.523,O,17.3,False,,,17.5,False,3
SAN_A01b,030a,Nectandra cuspidata,Lauraceae,736786.6999,9668110.655,O,16.1,False,,,16.2,False,3
SAN_A01b,031a,Virola elongata,Myristicaceae,736786.6335,9668106.26,O,25.9,False,,,26.2,False,3
SAN_A01b,032a,Pouteria gongrijpii,Sapotaceae,736787.1698,9668105.13,O,17.3,False,,,17.7,False,3
SAN_A01b,033a,,,736779.5416,9668118.944,O,52.2,False,13.71,25.05,52.3,False,3
SAN_A01b,034a,Eschweilera coriacea,Lecythidaceae,736778.7941,9668122.771,O,44.0,False,,,44.6,False,3
SAN_A01b,035a,Micrandra minor,Euphorbiaceae,736777.4999,9668122.126,O,32.5,False,22.1,31.34,32.8,False,3
SAN_A01b,036a,Licania guianensis,Chrysobalanaceae,736779.1182,9668128.806,O,17.4,False,,,17.5,False,3
SAN_A01b,037a,Pouteria gongrijpii,Sapotaceae,736775.3285,9668134.529,O,16.4,False,,,16.6,False,3
SAN_A01b,038a,Licania octandra,Chrysobalanaceae,736772.5637,9668133.664,O,45.6,False,,,45.8,False,3
SAN_A01b,039a,Ocotea cernua,Lauraceae,736771.8625,9668137.37,O,14.0,False,,,14.2,False,3
SAN_A01b,040a,,,736773.5157,9668138.335,O,13.1,True,,,,True,3
SAN_A01b,041a,Pouteria gongrijpii,Sapotaceae,736774.1776,9668139.162,O,44.9,False,,,,True,3
SAN_A01b,042a,,,736768.2729,9668144.93,O,14.7,False,,,14.0,False,3
SAN_A01b,043a,Pouteria gongrijpii,Sapotaceae,736772.3714,9668145.153,O,30.2,False,20.43,32.36,30.4,False,3
SAN_A01b,044a,Ocotea cernua,Lauraceae,736768.6073,9668146.436,O,16.8,False,,,17.5,False,3
SAN_A01b,045a,,,736785.6137,9668141.8,L,,,,,10.5,False,3
SAN_A01b,001a,Pouteria reticulata,Sapotaceae,736646.5736,9668385.721,O,23.2,False,16.42,24.51,23.2,False,4
SAN_A01b,001b,Copaifera reticulata,Fabaceae,736635.5791,9668378.711,O,38.4,False,,,38.9,False,4
SAN_A01b,002a,Minquartia guianensis,Olacaceae,736648.0632,9668381.437,O,29.5,False,,,30.0,False,4
SAN_A01b,002b,Pouteria guianensis,Sapotaceae,736631.4332,9668371.763,O,40.4,False,,,,True,4
SAN_A01b,003a,Pouteria gongrijpii,Sapotaceae,736651.7312,9668388.843,O,25.8,False,,,26.2,False,4
SAN_A01b,003b,Cassia fastuosa,Fabaceae,736630.5883,9668362.653,O,45.0,False,,,,True,4
SAN_A01b,004a,Lecythis idatimon,Lecythidaceae,736655.169,9668389.102,O,12.7,False,,,13.1,False,4
SAN_A01b,004b,Pouteria guianensis,Sapotaceae,736636.2568,9668360.913,O,47.0,False,,,48.8,False,4
SAN_A01b,005a,Goupia glabra,Goupiaceae,736656.7108,9668387.677,O,71.0,False,,,70.0,False,4
SAN_A01b,005b,Manilkara bidentata,Sapotaceae,736651.3381,9668355.889,O,39.6,False,15.68,25.34,39.9,False,4
SAN_A01b,006a,Eschweilera coriacea,Lecythidaceae,736654.0263,9668383.421,O,24.4,False,,,24.8,False,4
SAN_A01b,006b,,,736650.8478,9668352.446,O,38.4,False,17.78,24.09,37.5,False,4
SAN_A01b,007a,Lecythis idatimon,Lecythidaceae,736653.0625,9668377.313,O,12.0,False,,,12.7,False,4
SAN_A01b,007b,Nectandra cuspidata,Lauraceae,736650.8489,9668343.627,O,38.8,False,,,40.3,False,4
SAN_A01b,008a,Tetragastris panamensis,Burseraceae,736651.2226,9668374.42,O,21.0,False,,,21.3,False,4
SAN_A01b,008b,,,736630.9366,9668328.389,O,42.5,True,,,,True,4
SAN_A01b,009a,Theobroma subincanum,Malvaceae,736656.3811,9668377.857,O,11.6,False,,,,True,4
SAN_A01b,009b,Inga alba,Fabaceae,736632.5529,9668347.569,O,54.8,False,22.36,31.65,57.0,False,4
SAN_A01b,010a,Sacoglottis guianensis,Humiriaceae,736660.696,9668380.685,O,14.4,False,,,14.4,False,4
SAN_A01b,010b,Tetragastris altissima,Burseraceae,736626.3332,9668366.308,O,58.7,False,25.7,38.52,61.3,False,4
SAN_A01b,011a,Pouteria gongrijpii,Sapotaceae,736658.8598,9668375.914,O,44.6,False,,,13.3,False,4
SAN_A01b,011b,Pouteria gongrijpii,Sapotaceae,736624.2631,9668370.239,O,42.0,False,,,42.3,False,4
SAN_A01b,012a,Eschweilera coriacea,Lecythidaceae,736653.2496,9668369.167,O,16.0,False,,,16.5,False,4
SAN_A01b,012b,Pouteria guianensis,Sapotaceae,736625.0805,9668372.951,O,38.7,False,,,39.6,False,4
SAN_A01b,013a,Licania octandra,Chrysobalanaceae,736661.2521,9668368.293,O,10.9,False,,,17.8,False,4
SAN_A01b,014a,Pouteria gongrijpii,Sapotaceae,736665.9543,9668373.826,O,12.5,False,,,13.7,False,4
SAN_A01b,015a,Manilkara huberi,Sapotaceae,736665.4946,9668367.573,O,32.5,False,20.89,31.4,34.1,False,4
SAN_A01b,016a,Licania guianensis,Chrysobalanaceae,736658.5497,9668362.611,O,13.0,False,,,13.5,False,4
SAN_A01b,017a,Tetragastris panamensis,Burseraceae,736659.031,9668361.836,O,26.3,False,,,,True,4
SAN_A01b,018a,Eschweilera parviflora,Lecythidaceae,736659.8863,9668361.473,O,17.4,False,,,18.1,False,4
SAN_A01b,019a,Pouteria guianensis,Sapotaceae,736669.9128,9668362.728,O,17.5,False,,,18.3,False,4
SAN_A01b,020a,Minquartia guianensis,Olacaceae,736673.4386,9668362.658,O,17.1,False,,,16.6,False,4
SAN_A01b,021a,Pouteria gongrijpii,Sapotaceae,736674.7177,9668360.323,O,34.0,False,,,33.9,False,4
SAN_A01b,022a,Pouteria reticulata,Sapotaceae,736672.3417,9668358.993,O,41.8,False,21.42,28.94,41.7,False,4
SAN_A01b,023a,,,736675.2637,9668356.509,O,11.3,False,,,11.4,False,4
SAN_A01b,024a,Lecythis lurida,Lecythidaceae,736678.8504,9668354.045,O,55.5,False,23.47,42.56,57.0,False,4
SAN_A01b,025a,,,736677.3047,9668353.386,L,12.2,False,,,13.6,False,4
SAN_A01b,026a,Eschweilera micrantha,Lecythidaceae,736672.9907,9668349.873,O,25.6,False,,,26.2,False,4
SAN_A01b,027a,Protium paniculatum,Burseraceae,736668.1229,9668347.182,O,12.4,False,,,12.7,False,4
SAN_A01b,028a,Minquartia guianensis,Olacaceae,736679.4549,9668348.055,O,59.0,False,12.55,23.61,59.7,False,4
SAN_A01b,029a,Pouteria gongrijpii,Sapotaceae,736676.2837,9668346.787,O,59.8,False,17.63,35.33,60.0,False,4
SAN_A01b,030a,Tetragastris panamensis,Burseraceae,736662.8401,9668342.981,O,15.8,False,,,16.0,False,4
SAN_A01b,031a,,,736659.7864,9668345.917,O,87.0,False,24.77,44.41,89.4,False,4
SAN_A01b,032a,,,736657.2736,9668348.628,O,29.1,False,,,29.5,False,4
SAN_A01b,033a,Lecythis idatimon,Lecythidaceae,736653.7943,9668353.855,O,11.1,False,,,11.6,False,4
SAN_A01b,034a,Protium paniculatum,Burseraceae,736664.0613,9668351.645,O,16.0,False,,,17.4,False,4
SAN_A01b,035a,Miconia poeppigii,Melastomataceae,736665.9301,9668350.716,O,10.6,False,,,10.8,False,4
SAN_A01b,036a,Caryocar glabrum,Caryocaraceae,736658.1118,9668359.24,O,15.9,False,,,16.3,False,4
SAN_A01b,037a,,,736651.2695,9668360.209,O,67.7,True,,,,True,4
SAN_A01b,038a,Eschweilera coriacea,Lecythidaceae,736653.2417,9668365.158,O,10.7,False,,,10.9,False,4
SAN_A01b,039a,Licania guianensis,Chrysobalanaceae,736650.2345,9668372.079,O,52.4,False,23.88,31.48,53.5,False,4
SAN_A01b,040a,Lecythis idatimon,Lecythidaceae,736646.7377,9668375.819,O,12.7,False,,,13.0,False,4
SAN_A01b,041a,Micrandra minor,Euphorbiaceae,736646.3822,9668374.429,O,47.7,False,19.6,36.43,49.0,False,4
SAN_A01b,042a,Pouteria gongrijpii,Sapotaceae,736642.9612,9668376.141,O,21.6,False,,,21.5,False,4
SAN_A01b,043a,Eschweilera coriacea,Lecythidaceae,736642.5751,9668382.642,O,65.0,False,22.84,35.65,65.2,False,4
SAN_A01b,044a,,,736642.315,9668383.068,L,14.0,False,,,14.3,False,4
SAN_A01b,045a,Lacunaria jenmanii,Ochnaceae,736641.2788,9668382.843,O,11.6,False,,,11.9,False,4
SAN_A01b,046a,,,736640.0423,9668382.954,L,14.7,False,,,15.2,False,4
SAN_A01b,047a,,,736639.7377,9668381.907,L,13.0,False,,,13.7,False,4
SAN_A01b,048a,Zygia racemosa,Fabaceae,736654.2603,9668364.911,O,,,,,10.2,False,4
