site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id
SAN_A02,1,Attalea maripa,Arecaceae,738320.1308,9636707.555,34.8,13.31,6.19,False,P,1
SAN_A02,2,Attalea maripa,Arecaceae,738327.3408,9636709.935,61.1,12.96,4.29,False,P,1
SAN_A02,3,Attalea maripa,Arecaceae,738327.5442,9636723.531,51.0,14.97,5.56,False,P,1
SAN_A02,4,Attalea maripa,Arecaceae,738329.0292,9636726.602,59.0,11.31,7.02,False,P,1
SAN_A02,5,Cecropia ficifolia,Urticaceae,738324.1923,9636734.259,15.2,10.82,7.59,False,O,1
SAN_A02,6,Attalea maripa,Arecaceae,738334.2502,9636741.065,70.0,12.06,3.85,False,P,1
SAN_A02,7,Attalea maripa,Arecaceae,738366.7782,9636742.973,54.1,8.92,4.49,False,P,1
SAN_A02,8,Attalea maripa,Arecaceae,738352.2998,9636744.493,52.0,11.53,2.95,False,P,1
SAN_A02,9,Attalea maripa,Arecaceae,738357.4421,9636743.743,55.4,11.71,2.39,False,P,1
SAN_A02,10,Attalea maripa,Arecaceae,738363.2255,9636747.846,65.0,14.89,4.12,False,P,1
SAN_A02,11,Attalea maripa,Arecaceae,738363.3326,9636732.989,55.2,11.15,3.52,False,P,1
SAN_A02,12,Attalea maripa,Arecaceae,738342.9216,9636734.943,52.5,13.03,3.67,False,P,1
SAN_A02,13,Attalea maripa,Arecaceae,738363.4944,9636719.123,49.0,12.49,5.62,False,P,1
SAN_A02,14,Attalea maripa,Arecaceae,738361.8366,9636714.415,64.5,10.65,2.95,False,P,1
SAN_A02,15,Attalea maripa,Arecaceae,738358.9095,9636700.195,53.7,14.09,3.61,False,P,1
SAN_A02,16,Attalea maripa,Arecaceae,738347.8106,9636706.486,48.8,12.73,3.08,False,P,1
SAN_A02,17,Attalea maripa,Arecaceae,738338.1401,9636708.826,55.4,13.7,2.96,False,P,1
SAN_A02,18,Attalea maripa,Arecaceae,738339.945,9636716.511,55.7,10.0,3.57,False,P,1
SAN_A02,19,Enterolobium schomburgkii,Fabaceae,738335.572,9636862.176,10.8,11.36,6.26,False,O,2
SAN_A02,20,Attalea maripa,Arecaceae,738339.1664,9636863.106,60.0,12.71,2.6,False,P,2
SAN_A02,21,Attalea maripa,Arecaceae,738338.6726,9636872.619,55.8,14.44,2.6,False,P,2
SAN_A02,22,Attalea maripa,Arecaceae,738339.7821,9636872.445,21.2,14.38,6.5,False,P,2
SAN_A02,23,Guatteria schomburgkiana,Annonaceae,738339.8745,9636872.431,22.9,12.57,6.5,False,O,2
SAN_A02,24,,,738338.8373,9636878.355,15.2,4.19,,True,O,2
SAN_A02,25,Guatteria schomburgkiana,Annonaceae,738338.9022,9636882.12,22.9,13.37,6.85,False,O,2
SAN_A02,26,Guatteria schomburgkiana,Annonaceae,738338.9956,9636882.105,13.8,12.09,6.54,False,O,2
SAN_A02,27,Inga marginata,Fabaceae,738343.9271,9636896.827,18.9,9.74,3.84,False,O,2
SAN_A02,28,Inga marginata,Fabaceae,738344.0505,9636897.006,14.2,8.58,3.65,False,O,2
SAN_A02,29,Inga marginata,Fabaceae,738343.946,9636897.619,11.6,11.63,5.43,False,O,2
SAN_A02,30,Inga marginata,Fabaceae,738343.8936,9636897.925,17.3,13.97,6.11,False,O,2
SAN_A02,31,Guatteria schomburgkiana,Annonaceae,738340.6097,9636899.439,13.8,13.97,7.39,False,O,2
SAN_A02,32,Vismia guianensis,Hypericaceae,738339.9172,9636900.045,11.5,13.91,10.01,False,O,2
SAN_A02,33,Vismia guianensis,Hypericaceae,738344.4969,9636900.711,13.0,14.28,8.47,False,O,2
SAN_A02,34,Attalea maripa,Arecaceae,738359.5906,9636890.18,40.0,12.67,1.94,False,P,2
SAN_A02,35,Attalea maripa,Arecaceae,738361.1584,9636887.948,43.0,11.08,1.97,False,P,2
SAN_A02,36,Attalea maripa,Arecaceae,738355.1882,9636880.95,49.1,13.11,4.39,False,P,2
SAN_A02,37,Attalea maripa,Arecaceae,738363.9389,9636881.558,45.0,10.1,3.49,False,P,2
SAN_A02,38,Attalea maripa,Arecaceae,738369.2938,9636873.776,46.0,14.02,5.58,False,P,2
SAN_A02,39,Attalea maripa,Arecaceae,738360.3136,9636877.169,38.0,11.44,3.92,False,P,2
SAN_A02,40,Attalea maripa,Arecaceae,738364.6411,9636874.506,41.0,13.09,3.73,False,P,2
SAN_A02,41,Attalea maripa,Arecaceae,738376.6619,9636882.528,43.0,7.87,4.34,False,P,2
SAN_A02,42,Attalea maripa,Arecaceae,738381.3362,9636886.745,47.0,15.03,4.76,False,P,2
SAN_A02,43,Attalea maripa,Arecaceae,738383.6265,9636878.46,36.0,11.81,4.8,False,P,2
SAN_A02,44,Attalea maripa,Arecaceae,738379.8966,9636874.094,46.0,11.63,4.07,False,P,2
SAN_A02,45,Attalea maripa,Arecaceae,738376.7381,9636872.608,53.5,12.09,3.58,False,P,2
SAN_A02,46,Attalea maripa,Arecaceae,738376.7613,9636867.652,43.8,15.02,4.45,False,P,2
SAN_A02,47,,,738379.9069,9636869.14,44.0,13.45,5.24,True,O,2
SAN_A02,48,Attalea maripa,Arecaceae,738381.9484,9636869.81,41.0,14.63,4.68,False,P,2
SAN_A02,49,Attalea maripa,Arecaceae,738378.2467,9636860.487,36.0,12.16,4.31,False,P,2
SAN_A02,50,Attalea maripa,Arecaceae,738377.1399,9636854.718,49.8,13.24,4.86,False,P,2
SAN_A02,51,Attalea maripa,Arecaceae,738378.9652,9636854.434,41.3,14.6,5.14,False,P,2
SAN_A02,52,Attalea maripa,Arecaceae,738374.4021,9636855.144,45.3,11.8,4.04,False,P,2
SAN_A02,53,Attalea maripa,Arecaceae,738366.1884,9636856.421,41.0,12.87,3.73,False,P,2
SAN_A02,54,Attalea maripa,Arecaceae,738366.9911,9636866.207,42.0,11.63,3.66,False,P,2
SAN_A02,55,Attalea maripa,Arecaceae,738358.8067,9636851.62,42.0,12.09,4.39,False,P,2
SAN_A02,56,Vismia guianensis,Hypericaceae,738351.5499,9637012.771,12.8,14.52,8.2,False,O,3
SAN_A02,57,,,738351.5454,9637015.012,10.2,10.17,7.27,True,O,3
SAN_A02,58,Attalea maripa,Arecaceae,738351.4203,9637025.519,48.0,17.19,6.88,False,P,3
SAN_A02,59,Swartzia corrugata,Fabaceae,738352.7861,9637034.052,12.4,13.48,9.02,False,O,3
SAN_A02,60,Guatteria schomburgkiana,Annonaceae,738353.122,9637035.942,31.3,16.2,12.09,False,O,3
SAN_A02,61,Helicostylis sp.,Moraceae,738353.3854,9637038.811,17.4,17.05,10.0,False,O,3
SAN_A02,62,Attalea maripa,Arecaceae,738355.398,9637041.521,42.8,20.3,7.61,False,P,3
SAN_A02,63,Helicostylis sp.,Moraceae,738352.7237,9637042.148,26.6,20.82,15.51,False,O,3
SAN_A02,64,Helicostylis sp.,Moraceae,738354.094,9637046.791,14.5,14.34,10.67,False,O,3
SAN_A02,65,Guatteria schomburgkiana,Annonaceae,738354.2266,9637053.368,32.8,23.92,16.76,False,O,3
SAN_A02,66,,,738355.8753,9637053.074,17.8,12.65,,True,O,3
SAN_A02,67,Helicostylis sp.,Moraceae,738356.8585,9637053.006,13.4,17.91,13.13,False,O,3
SAN_A02,68,Attalea maripa,Arecaceae,738356.7977,9637050.97,49.2,20.38,7.82,False,P,3
SAN_A02,69,Attalea maripa,Arecaceae,738366.8484,9637053.438,46.0,23.07,7.93,False,P,3
SAN_A02,70,,,738363.6661,9637044.476,39.2,3.65,,True,O,3
SAN_A02,71,Attalea maripa,Arecaceae,738390.2244,9637024.284,38.0,17.95,7.48,False,P,3
SAN_A02,72,Attalea maripa,Arecaceae,738383.0589,9637048.426,53.2,17.56,8.62,False,P,3
SAN_A02,73,Attalea maripa,Arecaceae,738390.6671,9637046.064,41.0,19.56,8.3,False,P,3
SAN_A02,74,Attalea maripa,Arecaceae,738395.0031,9637048.272,41.4,23.13,12.18,False,P,3
SAN_A02,75,Attalea maripa,Arecaceae,738387.096,9637016.756,44.0,16.94,9.71,False,P,3
SAN_A02,76,Attalea maripa,Arecaceae,738378.5016,9637017.679,43.0,20.5,10.24,False,P,3
SAN_A02,77,Attalea maripa,Arecaceae,738376.4435,9637003.793,41.0,24.1,11.4,False,P,3
SAN_A02,78,Attalea maripa,Arecaceae,738373.5989,9637004.004,54.0,16.52,11.02,False,P,3
SAN_A02,79,Attalea maripa,Arecaceae,738370.0934,9637006.302,45.5,21.74,7.57,False,P,3
SAN_A02,80,Attalea maripa,Arecaceae,738361.4348,9637013.236,43.0,13.95,7.89,False,P,3
SAN_A02,81,,,738366.2282,9637155.614,18.4,16.66,11.24,False,O,4
SAN_A02,82,Ceiba pentandra,Malvaceae,738367.0464,9637162.183,12.5,13.75,11.56,False,O,4
SAN_A02,83,Tapirira guianensis,Anacardiaceae,738367.1873,9637166.161,10.4,13.76,11.0,False,O,4
SAN_A02,84,Vismia guianensis,Hypericaceae,738367.8003,9637174.391,10.5,5.75,3.82,False,O,4
SAN_A02,85,Attalea maripa,Arecaceae,738371.3806,9637179.836,49.7,17.72,6.46,False,P,4
SAN_A02,86,Attalea maripa,Arecaceae,738371.5626,9637181.556,37.5,19.35,7.12,False,P,4
SAN_A02,87,Guatteria schomburgkiana,Annonaceae,738366.6824,9637186.711,14.3,16.26,10.07,False,O,4
SAN_A02,88,Cecropia ficifolia,Urticaceae,738372.1242,9637195.727,19.0,16.59,11.34,False,O,4
SAN_A02,91,Attalea maripa,Arecaceae,738383.1987,9637191.797,38.4,15.8,8.91,False,P,4
SAN_A02,92,Attalea maripa,Arecaceae,738392.2769,9637199.922,35.0,17.13,6.17,False,P,4
SAN_A02,93,Attalea maripa,Arecaceae,738395.2281,9637189.404,35.0,14.79,6.17,False,P,4
SAN_A02,94,,,738401.4552,9637198.846,64.1,24.0,,True,O,4
SAN_A02,95,Attalea maripa,Arecaceae,738406.9076,9637197.193,44.8,18.22,7.34,False,P,4
SAN_A02,96,Attalea maripa,Arecaceae,738408.6944,9637195.971,39.0,16.05,6.73,False,P,4
SAN_A02,97,Attalea maripa,Arecaceae,738399.6307,9637184.84,40.0,17.57,7.46,False,P,4
SAN_A02,98,Attalea maripa,Arecaceae,738411.4591,9637175.412,51.0,18.55,5.69,False,P,4
SAN_A02,99,Attalea maripa,Arecaceae,738403.4587,9637169.198,41.0,15.51,6.29,False,P,4
SAN_A02,100,Attalea maripa,Arecaceae,738391.3621,9637175.595,37.0,20.61,9.6,False,P,4
SAN_A02,101,Attalea maripa,Arecaceae,738392.0151,9637171.454,47.1,17.2,8.62,False,P,4
SAN_A02,102,Attalea maripa,Arecaceae,738387.7923,9637154.607,51.7,22.29,10.47,False,P,4
SAN_A02,103,Attalea maripa,Arecaceae,738378.4304,9637160.679,46.0,20.23,9.4,False,P,4
SAN_A02,104,Attalea maripa,Arecaceae,738380.3016,9637170.379,40.0,17.78,7.08,False,P,4
SAN_A02,1,Bixa arborea,Bixaceae,731810.1281,9634357.945,17.9,19.44,12.64,False,O,5
SAN_A02,2,Cordia scabrifolia,Boraginaceae,731816.2569,9634359.616,16.7,18.62,12.08,False,O,5
SAN_A02,3,Inga sp.,Fabaceae,731817.9168,9634358.327,21.6,22.3,10.68,False,O,5
SAN_A02,4,Inga heterophylla,Fabaceae,731818.1773,9634358.807,13.6,15.35,9.58,False,O,5
SAN_A02,5,,,731821.7437,9634358.267,14.4,,,True,O,5
SAN_A02,6,Minquartia guianensis,Olacaceae,731823.4359,9634345.374,47.6,19.91,12.48,False,O,5
SAN_A02,7,Inga marginata,Fabaceae,731828.9212,9634358.216,12.6,15.5,11.67,False,O,5
SAN_A02,8,Astronium graveolens,Anacardiaceae,731830.2373,9634354.706,32.7,23.6,16.52,False,O,5
SAN_A02,9,Cordia scabrifolia,Boraginaceae,731832.5523,9634354.667,14.2,14.64,8.7,False,O,5
SAN_A02,10,Fusaea longifolia,Annonaceae,731836.1807,9634355.256,13.4,11.23,6.81,False,O,5
SAN_A02,11,Cecropia ficifolia,Urticaceae,731838.5913,9634353.86,31.9,27.31,16.02,False,O,5
SAN_A02,12,Theobroma glaucum,Malvaceae,731839.7528,9634357.297,12.4,17.87,5.86,False,O,5
SAN_A02,13,Cecropia ficifolia,Urticaceae,731845.1877,9634354.514,15.2,18.64,11.36,False,O,5
SAN_A02,14,Inga sp.,Fabaceae,731850.9465,9634352.614,31.3,17.53,8.05,False,O,5
SAN_A02,15,Abarema cochleata,Fabaceae,731857.5505,9634351.514,12.5,13.51,8.31,False,O,5
SAN_A02,16,Geissospermum sericeum,Apocynaceae,731844.7797,9634325.749,39.8,19.79,13.6,False,O,5
SAN_A02,17,Manilkara huberi,Sapotaceae,731843.8381,9634325.884,37.1,33.04,21.83,False,O,5
SAN_A02,18,Pouteria sp.,Sapotaceae,731850.7556,9634316.682,53.3,25.91,18.72,False,O,5
SAN_A02,19,Tachigali paniculata,Fabaceae,731839.2745,9634316.248,90.0,45.61,22.29,False,O,5
SAN_A02,21,,,731815.9014,9634310.222,47.5,4.8,,True,O,5
SAN_A02,22,Pterocarpus sp.,Fabaceae,731819.5891,9634316.951,55.1,30.87,19.34,False,O,5
SAN_A02,23,Cecropia ficifolia,Urticaceae,731812.3459,9634319.004,35.9,29.99,23.76,False,O,5
SAN_A02,24,Inga alba,Fabaceae,731817.7518,9634324.455,41.8,33.89,18.09,False,O,5
SAN_A02,25,Alibertia edulis,Rubiaceae,731825.654,9634326.431,35.2,25.3,17.67,False,O,5
SAN_A02,26,Pouteria gongrijpii,Sapotaceae,731825.7261,9634333.656,69.6,39.91,28.91,False,O,5
SAN_A02,27,Mezilaurus itauba,Lauraceae,731818.9606,9634331.531,42.2,34.99,24.43,False,O,5
SAN_A02,28,Geissospermum sericeum,Apocynaceae,731819.2636,9634334.594,60.0,30.82,24.58,False,O,5
SAN_A02,29,Apeiba membranacea,Malvaceae,731819.7344,9634339.705,43.9,25.42,18.85,False,O,5
SAN_A02,30,Tachigali paniculata,Fabaceae,731829.3352,9634340.365,58.7,24.34,15.21,False,O,5
SAN_A02,64,Inga sp.,Fabaceae,732109.1809,9634307.228,17.0,17.76,10.6,False,O,7
SAN_A02,65,Parkia paraensis,Fabaceae,732111.1632,9634295.626,59.5,30.11,20.36,False,O,7
SAN_A02,66,,,732112.9167,9634305.974,27.0,8.2,,True,O,7
SAN_A02,67,Inga sp.,Fabaceae,732119.3942,9634303.545,17.5,28.77,21.92,False,O,7
SAN_A02,68,Fusaea longifolia,Annonaceae,732125.2382,9634302.873,12.0,5.86,3.87,False,O,7
SAN_A02,69,Vismia guianensis,Hypericaceae,732124.7751,9634302.482,21.6,22.7,16.78,False,O,7
SAN_A02,70,Vismia guianensis,Hypericaceae,732125.0089,9634301.38,27.2,31.62,20.09,False,O,7
SAN_A02,71,Rollinia exsucca,Annonaceae,732126.2805,9634303.101,28.6,33.3,22.63,False,O,7
SAN_A02,72,Inga sp.,Fabaceae,732128.9558,9634303.481,17.7,19.85,16.43,False,O,7
SAN_A02,73,Inga sp.,Fabaceae,732127.9112,9634299.254,17.0,31.82,21.76,False,O,7
SAN_A02,74,Minquartia guianensis,Olacaceae,732131.232,9634299.886,17.5,13.43,8.12,False,O,7
SAN_A02,75,Cordia scabrifolia,Boraginaceae,732133.3597,9634301.322,18.4,21.29,13.72,False,O,7
SAN_A02,76,Inga alba,Fabaceae,732139.8711,9634297.722,14.5,19.05,12.3,False,O,7
SAN_A02,77,Inga thibaudiana,Fabaceae,732143.2944,9634297.756,23.0,24.32,14.94,False,O,7
SAN_A02,78,Inga alba,Fabaceae,732145.5303,9634297.232,13.5,12.26,10.7,False,O,7
SAN_A02,79,Inga alba,Fabaceae,732146.4966,9634296.963,20.5,23.12,17.57,False,O,7
SAN_A02,80,,,732138.5724,9634278.31,79.5,15.03,,True,O,7
SAN_A02,81,Goupia glabra,Goupiaceae,732104.6275,9634257.283,73.5,34.9,25.48,False,O,7
SAN_A02,82,Inga marginata,Fabaceae,732099.5788,9634264.322,39.5,23.57,17.25,False,O,7
SAN_A02,83,Apeiba petoumo,Malvaceae,732106.1223,9634266.632,41.7,20.47,12.97,False,O,7
SAN_A02,84,Minquartia guianensis,Olacaceae,732107.4569,9634281.366,36.3,21.88,11.04,False,O,7
SAN_A02,85,Diplotropis sp.,Fabaceae,732115.1912,9634285.135,48.3,26.0,16.73,False,O,7
SAN_A02,86,Cecropia ficifolia,Urticaceae,732127.3141,9634284.624,37.2,24.93,15.65,False,O,7
